[2021-03-14 17:49:40,896] INFO Scraping started...
[2021-03-14 17:49:43,892] INFO Page 1 scraped
[2021-03-14 17:49:45,082] INFO Page 2 scraped
[2021-03-14 17:49:46,431] INFO Page 3 scraped
[2021-03-14 17:49:46,846] INFO Page 4 scraped
[2021-03-14 17:49:53,255] INFO Page 5 scraped
[2021-03-14 17:49:56,837] INFO Page 6 scraped
[2021-03-14 17:49:58,748] INFO Page 7 scraped
[2021-03-14 17:50:00,272] INFO Page 8 scraped
[2021-03-14 17:50:01,972] INFO Page 9 scraped
[2021-03-14 17:50:02,904] INFO Page 10 scraped
[2021-03-14 17:50:03,423] INFO Page 11 scraped
[2021-03-14 17:50:03,578] INFO Page 12 scraped
[2021-03-14 17:50:03,590] INFO Page 13 scraped
[2021-03-14 17:50:03,733] INFO Page 14 scraped
[2021-03-14 17:50:03,766] INFO Page 15 scraped
[2021-03-14 17:50:03,833] INFO Page 16 scraped
[2021-03-14 17:50:04,311] INFO Page 17 scraped
[2021-03-14 17:50:04,374] INFO Page 18 scraped
[2021-03-14 17:50:04,375] INFO Page 19 scraped
[2021-03-14 17:50:04,431] INFO Page 20 scraped
[2021-03-14 17:50:05,321] INFO Page 21 scraped
[2021-03-14 17:50:05,715] INFO Page 22 scraped
[2021-03-14 17:50:06,258] INFO Page 23 scraped
[2021-03-14 17:50:06,342] INFO Page 24 scraped
[2021-03-14 17:50:06,555] INFO Page 25 scraped
[2021-03-14 17:50:07,454] INFO Page 26 scraped
[2021-03-14 17:50:07,581] INFO Page 27 scraped
[2021-03-14 17:50:08,219] INFO Page 28 scraped
[2021-03-14 17:50:08,466] INFO Page 29 scraped
[2021-03-14 17:50:08,728] INFO Page 30 scraped
[2021-03-14 17:50:08,903] INFO Page 31 scraped
[2021-03-14 17:50:09,404] INFO Page 32 scraped
[2021-03-14 17:50:09,876] INFO Page 33 scraped
[2021-03-14 17:50:10,182] INFO Page 34 scraped
[2021-03-14 17:50:10,235] INFO Page 35 scraped
[2021-03-14 17:50:11,418] INFO Page 36 scraped
[2021-03-14 17:50:15,413] INFO Page 37 scraped
[2021-03-14 17:50:15,591] INFO Page 38 scraped
[2021-03-14 17:50:17,518] INFO Page 39 scraped
[2021-03-14 17:50:19,665] INFO Page 40 scraped
[2021-03-14 17:50:22,922] INFO Page 41 scraped
[2021-03-14 17:50:23,403] INFO Page 42 scraped
[2021-03-14 17:50:23,717] INFO Page 43 scraped
[2021-03-14 17:50:24,487] INFO Page 44 scraped
[2021-03-14 17:50:28,681] INFO Page 45 scraped
[2021-03-14 17:50:30,645] INFO Page 46 scraped
[2021-03-14 17:50:30,756] INFO Page 47 scraped
[2021-03-14 17:50:32,890] INFO Page 48 scraped
[2021-03-14 17:50:33,337] INFO Page 49 scraped
[2021-03-14 17:50:33,723] INFO Page 50 scraped
[2021-03-14 17:50:34,171] INFO Page 51 scraped
[2021-03-14 17:50:34,945] INFO Page 52 scraped
[2021-03-14 17:50:35,631] INFO Page 53 scraped
[2021-03-14 17:50:35,661] INFO Page 54 scraped
[2021-03-14 17:50:35,741] INFO Page 55 scraped
[2021-03-14 17:50:35,906] INFO Page 56 scraped
[2021-03-14 17:50:36,832] INFO Page 57 scraped
[2021-03-14 17:50:37,072] INFO Page 58 scraped
[2021-03-14 17:50:37,248] INFO Page 59 scraped
[2021-03-14 17:50:38,277] INFO Page 60 scraped
[2021-03-14 17:50:38,432] INFO Page 61 scraped
[2021-03-14 17:50:39,161] INFO Page 62 scraped
[2021-03-14 17:50:39,756] INFO Page 63 scraped
[2021-03-14 17:50:40,220] INFO Page 64 scraped
[2021-03-14 17:50:41,383] INFO Page 65 scraped
[2021-03-14 17:50:42,780] INFO Page 66 scraped
[2021-03-14 17:50:43,030] INFO Page 67 scraped
[2021-03-14 17:50:44,438] INFO Page 68 scraped
[2021-03-14 17:50:44,651] INFO Page 69 scraped
[2021-03-14 17:50:44,681] INFO Page 70 scraped
[2021-03-14 17:50:45,206] INFO Page 71 scraped
[2021-03-14 17:50:46,071] INFO Page 72 scraped
[2021-03-14 17:50:48,474] INFO Page 73 scraped
[2021-03-14 17:50:49,357] WARNING Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
[2021-03-14 17:50:49,841] INFO Page 74 scraped
[2021-03-14 17:50:50,512] INFO Page 75 scraped
[2021-03-14 17:50:50,664] INFO Page 76 scraped
[2021-03-14 17:50:53,028] INFO Page 77 scraped
[2021-03-14 17:50:56,014] INFO Page 78 scraped
[2021-03-14 17:50:56,709] INFO Page 79 scraped
[2021-03-14 17:50:57,538] INFO Page 80 scraped
[2021-03-14 17:50:58,030] INFO Page 81 scraped
[2021-03-14 17:51:01,628] INFO Page 82 scraped
[2021-03-14 17:51:01,675] INFO Page 83 scraped
[2021-03-14 17:51:01,820] INFO Page 84 scraped
[2021-03-14 17:51:01,881] INFO Page 85 scraped
[2021-03-14 17:51:01,884] INFO Page 86 scraped
[2021-03-14 17:51:02,014] INFO Page 87 scraped
[2021-03-14 17:51:02,280] INFO Page 88 scraped
[2021-03-14 17:51:02,351] INFO Page 89 scraped
[2021-03-14 17:51:02,874] INFO Page 90 scraped
[2021-03-14 17:51:03,750] INFO Page 91 scraped
[2021-03-14 17:51:04,051] INFO Page 92 scraped
[2021-03-14 17:51:04,330] INFO Page 93 scraped
[2021-03-14 17:51:05,098] INFO Page 94 scraped
[2021-03-14 17:51:05,559] INFO Page 95 scraped
[2021-03-14 17:51:06,601] INFO Page 96 scraped
[2021-03-14 17:51:08,967] INFO Page 97 scraped
[2021-03-14 17:51:10,324] INFO Page 98 scraped
[2021-03-14 17:51:10,767] INFO Page 99 scraped
[2021-03-14 17:51:11,796] INFO Page 100 scraped
[2021-03-14 17:51:12,561] INFO Page 101 scraped
[2021-03-14 17:51:12,625] INFO Page 102 scraped
[2021-03-14 17:51:12,847] INFO Page 103 scraped
[2021-03-14 17:51:13,006] INFO Page 104 scraped
[2021-03-14 17:51:13,668] WARNING Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
[2021-03-14 17:51:14,412] INFO Page 105 scraped
[2021-03-14 17:51:16,561] INFO Page 106 scraped
[2021-03-14 17:51:22,909] INFO Page 107 scraped
[2021-03-14 17:51:23,811] INFO Page 108 scraped
[2021-03-14 17:51:23,821] INFO Page 109 scraped
[2021-03-14 17:51:25,070] INFO Page 110 scraped
[2021-03-14 17:51:25,261] INFO Page 111 scraped
[2021-03-14 17:51:26,141] INFO Page 112 scraped
[2021-03-14 17:51:26,387] INFO Page 113 scraped
